timestamp,level,service,message
2026-01-20 10:12:30,ERROR,auth,Invalid token
2026-01-20 10:12:31,INFO,payment,Payment success
2026-01-20 10:12:35,WARN,auth,Token expiring
2026-01-20 10:13:02,INFO,order,Order created
2026-01-20 10:13:10,ERROR,payment,Payment gateway timeout
2026-01-20 10:13:45,INFO,auth,User logged in
2026-01-20 10:14:01,WARN,order,Inventory running low
2026-01-20 10:14:22,ERROR,order,Order processing failed
2026-01-20 10:14:50,INFO,payment,Refund initiated
2026-01-20 10:15:05,INFO,auth,User logged out
2026-01-20 10:15:40,WARN,payment,Slow response from bank
2026-01-20 10:16:12,ERROR,auth,Token validation failed
2026-01-20 10:16:45,INFO,order,Order shipped
2026-01-20 10:17:10,INFO,payment,Payment success
2026-01-20 10:17:55,WARN,auth,Multiple failed login attempts
2026-02-04 16:14:13,WARN,order,Random log message 0
2026-02-04 16:14:13,INFO,payment,Random log message 1
2026-02-04 16:14:13,INFO,auth,Random log message 2
2026-02-04 16:14:13,ERROR,auth,Random log message 3
2026-02-04 16:14:13,INFO,order,Random log message 4
2026-02-04 16:14:13,ERROR,payment,Random log message 5
2026-02-04 16:14:13,ERROR,order,Random log message 6
2026-02-04 16:14:13,WARN,auth,Random log message 7
2026-02-04 16:14:13,INFO,payment,Random log message 8
2026-02-04 16:14:13,INFO,order,Random log message 9
